Data type,Month,Region,Scenario,Sub-Technology,To D,Value
Generation (GWh),11,Chubu,2025_Historical data,Biomass,4:30,5:13
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,5:00,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,5:00,5:11
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,5:30,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,5:30,5:13
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,6:00,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,6:00,5:13
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,6:30,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,6:30,5:11
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,7:00,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,7:00,5:12
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,7:30,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,7:30,5:11
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,8:00,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,8:00,5:11
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,8:30,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,8:30,5:11
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,9:00,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,9:00,5:06
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,9:30,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,9:30,5:12
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,10:00,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,10:00,5:08
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,10:30,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,10:30,5:11
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,11:00,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,11:00,5:08
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,11:30,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,11:30,5:09
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,12:00,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,12:00,5:06
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,12:30,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,12:30,5:13
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,13:00,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,13:00,5:05
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,13:30,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,13:30,5:12
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,14:00,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,14:00,5:08
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,14:30,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,14:30,5:12
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,15:00,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,15:00,5:09
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,15:30,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,15:30,5:09
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,16:00,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,16:00,5:11
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,16:30,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,16:30,5:09
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,17:00,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,17:00,5:08
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,17:30,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,17:30,5:12
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,18:00,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,18:00,5:08
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,18:30,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,18:30,5:12
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,19:00,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,19:00,5:12
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,19:30,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,19:30,5:12
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,20:00,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,20:00,5:12
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,20:30,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,20:30,5:25
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,21:00,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,21:00,5:31
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,21:30,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,21:30,5:47
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,22:00,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,22:00,5:48
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,22:30,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,22:30,6:02
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,23:00,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,23:00,6:00
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,23:30,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,23:30,5:11
Curtailment (GWh),11,Chubu,2025_Historical data,Geothermal,0:00,
Generation (GWh),11,Chubu,2025_Historical data,Geothermal,0:00,0:01
Curtailment (GWh),11,Chubu,2025_Historical data,Geothermal,0:30,
Generation (GWh),11,Chubu,2025_Historical data,Geothermal,0:30,0:01
Curtailment (GWh),11,Chubu,2025_Historical data,Geothermal,1:00,
Generation (GWh),11,Chubu,2025_Historical data,Geothermal,1:00,0:00
Curtailment (GWh),11,Chubu,2025_Historical data,Geothermal,1:30,
Generation (GWh),11,Chubu,2025_Historical data,Geothermal,1:30,0:01
Curtailment (GWh),11,Chubu,2025_Historical data,Geothermal,2:00,
Generation (GWh),11,Chubu,2025_Historical data,Geothermal,2:00,0:01
Curtailment (GWh),11,Chubu,2025_Historical data,Geothermal,2:30,
Generation (GWh),11,Chubu,2025_Historical data,Geothermal,2:30,0:01
Curtailment (GWh),11,Chubu,2025_Historical data,Geothermal,3:00,
